farm_id,angle_deg,n_turb,country,TI,expected_AEP_kWh,expected_AEP_noWake_kWh,expected_CF,expected_WakeLoss,precompute_time_s
167,0,3,France,0.06,114965684.92942871,115943115.30486841,0.43746455452598443,0.008430258000827251,0.6893224999998893
167,10,3,France,0.06,114909252.04287936,115943115.30486841,0.43724981751476166,0.008916987086905068,0.6815542999997888
167,20,3,France,0.06,114656803.8608269,115943115.30486841,0.43628920799401405,0.011094332256462221,0.692770599999676
167,30,3,France,0.06,114081573.25506942,115943115.30486841,0.4341003548518623,0.016055649746033948,0.7707848000000013
167,40,3,France,0.06,112939902.2128979,115943115.30486841,0.4297560967005247,0.025902470224934644,0.6602453999994395
167,50,3,France,0.06,111442502.50713636,115943115.30486841,0.4240582287181749,0.03881742168043225,0.6280853999996907
167,60,3,France,0.06,110040267.84380959,115943115.30486841,0.418722480379793,0.05091158233533308,0.6240623000003325
167,70,3,France,0.06,109217392.52091163,115943115.30486841,0.41559129574167286,0.05800881549776996,0.6100365000002057
167,80,3,France,0.06,109167619.4180679,115943115.30486841,0.41540190037316554,0.058438104487572036,0.6080001999998785
167,90,3,France,0.06,109411555.11184779,115943115.30486841,0.41633011838602657,0.05633417884146131,0.6069950999999492
167,100,3,France,0.06,110320340.80704834,115943115.30486841,0.41978820702834224,0.04849597566043648,0.6098173000000315
167,110,3,France,0.06,111165576.98477013,115943115.30486841,0.4230044786330675,0.04120588193215189,0.6179453000004287
167,120,3,France,0.06,112401127.30064277,115943115.30486841,0.427705963853283,0.03054936030407762,0.6144775000002483
167,130,3,France,0.06,113541896.4796756,115943115.30486841,0.4320467902575175,0.020710318321867472,0.6037015000001702
167,140,3,France,0.06,114275312.10142063,115943115.30486841,0.43483756507389887,0.014384667852527146,0.6084083000005194
167,150,3,France,0.06,114647783.23572558,115943115.30486841,0.4362548829365509,0.011172134418993335,0.6071550000006027
167,160,3,France,0.06,114892429.35499473,115943115.30486841,0.4371858042427501,0.009062081410448076,0.611727399999836
167,170,3,France,0.06,114961419.09097068,115943115.30486841,0.43744832226396757,0.008467050512800165,0.6112630000006902
168,0,3,China,0.07,62643452.83577725,66744530.10001932,0.23836930302807174,0.06144439489043434,0.6106834000001982
