farm_id,receptor_id,season,direction_deg,concentration,flux,rotor_height_fraction,evidence_level,conservation_weight,n_observations,source
87,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist333km
87,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist333km
96,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist413km
96,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist413km
100,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist96km
100,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist96km
102,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist438km
102,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist438km
113,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist52km
113,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist52km
121,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist208km
121,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist208km
122,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist330km
122,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist330km
129,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist382km
129,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist382km
134,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist99km
134,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist99km
140,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist497km
140,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist497km
142,radar_deess,spring,21.0,0.749,236.2,0.5,radar,1.0,16,VPTS_deess_2020_dist301km
9,radar_bauer_United Kingdom,spring,28.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
9,radar_bauer_United Kingdom,spring,38.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
9,radar_bauer_United Kingdom,spring,48.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
9,radar_bauer_United Kingdom,spring,58.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
9,radar_bauer_United Kingdom,spring,68.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
9,radar_bauer_United Kingdom,autumn,212.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
9,radar_bauer_United Kingdom,autumn,222.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
9,radar_bauer_United Kingdom,autumn,232.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
9,radar_bauer_United Kingdom,autumn,242.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
9,radar_bauer_United Kingdom,autumn,252.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
