farm_id,country,centroid_lat,centroid_lon,n_turb,capacity_kW,data_radar,data_dist,all_radar,all_dist,group
58,France,47.1594,-2.6062,81,810000,behel,990.0593637710821,frabb,592.6229062994446,Europe (no direction data)
59,Denmark,55.4865,7.8406,80,800000,nlhrw,443.8007187418806,denhb,378.39563986627786,Europe (direction data)
60,Denmark,55.141,7.1997,80,800000,nlhrw,364.8087418633081,nlhrw,364.8087418633081,Europe (direction data)
61,Denmark,55.0168,7.7741,80,800000,nlhrw,406.58200060879483,denhb,358.85077794683696,Europe (direction data)
62,Taiwan,23.5921,120.028,79,790000,deess,12923.46580452928,denhb,12586.371772251829,East Asia
63,China,38.9986,118.8044,75,750000,deess,12489.708825672747,denhb,12110.74947874572,East Asia
64,Vietnam,10.1591,106.8469,75,750000,deess,11994.271394281555,denhb,11713.09555962824,East Asia
65,Netherlands,54.0341,5.8848,75,750000,nlhrw,174.20437214906516,nlhrw,174.20437214906516,Europe (direction data)
66,China,30.462,121.4796,74,740000,deess,12921.300335098917,denhb,12564.061710197677,East Asia
67,United Kingdom,53.6443,0.2928,73,730000,nlhrw,500.7156275072009,bejab,412.1317194295169,Europe (no direction data)
68,Denmark,55.2017,6.8522,72,720000,nlhrw,341.934013270587,nlhrw,341.934013270587,Europe (direction data)
69,France,49.896,0.2344,71,710000,behel,589.6823507266942,frabb,179.00605445224474,Europe (no direction data)
70,China,36.427,121.2355,70,700000,deess,12791.89891675115,denhb,12418.826889222237,East Asia
71,Taiwan,24.7084,120.7773,69,690000,deess,12975.393436935768,denhb,12634.579579864532,East Asia
72,China,20.5798,110.6321,68,680000,deess,12004.287283905216,denhb,11684.433810591187,East Asia
73,United Kingdom,53.2671,1.3778,67,670000,nlhrw,375.96545927152664,bejab,298.24787551171255,Europe (direction data)
74,China,29.5814,122.2286,62,620000,deess,13020.917998850708,denhb,12665.67070221243,East Asia
75,France,48.857,-2.542,62,620000,behel,916.6926313945147,frabb,505.44521273131085,Europe (no direction data)
76,China,38.3074,118.5609,61,610000,deess,12471.552751762709,denhb,12094.494088257761,East Asia
77,China,20.1437,109.4282,61,610000,deess,11890.291315775848,denhb,11573.064097736196,East Asia
78,China,39.4769,123.2027,60,600000,deess,12969.532251850524,denhb,12588.016636341757,East Asia
79,China,37.8351,120.3113,60,600000,deess,12670.666675611892,denhb,12294.247963098667,East Asia
80,United Kingdom,54.1164,-3.8162,60,600000,nlhrw,959.6222610586937,frabb,767.1935810259362,Europe (no direction data)
81,China,25.4058,119.3996,59,590000,deess,12808.896637717311,denhb,12467.066355243074,East Asia
82,China,33.3213,121.5926,58,580000,deess,12880.39132235696,denhb,12515.381925610438,East Asia
83,United Kingdom,54.7534,-3.713,58,580000,nlhrw,960.4843569365199,frabb,801.206862112251,Europe (no direction data)
84,United Kingdom,53.4864,-3.2425,57,570000,nlhrw,889.1632202742138,frabb,675.1471979534612,Europe (no direction data)
85,China,28.9259,121.9986,56,560000,deess,13009.590193608527,denhb,12656.259678772523,East Asia
86,Vietnam,8.9219,105.3984,56,560000,deess,11899.561834913105,denhb,11624.677598100197,East Asia
87,United Kingdom,51.7743,1.9848,56,560000,nlhrw,333.5287085861279,bejab,137.33761939516043,Europe (direction data)
88,China,34.5028,120.0532,55,550000,deess,12691.58947347714,denhb,12324.099573162806,East Asia
89,China,30.9301,122.1242,55,550000,deess,12982.495931720976,denhb,12623.649931591404,East Asia
90,China,22.7327,116.1203,55,550000,deess,12526.585856491025,denhb,12195.080089573623,East Asia
91,China,21.901,113.4405,55,550000,deess,12263.444756355013,denhb,11936.782778854664,East Asia
