species,order,iucn,migratory,weight
Chloephaga poliocephala,Anseriformes,LC,False,0.5
Chloephaga rubidiceps,Anseriformes,LC,True,2.0
Radjah radjah,Anseriformes,LC,False,0.5
Tadorna tadorna,Anseriformes,LC,True,2.0
Tadorna ferruginea,Anseriformes,LC,True,2.0
Tadorna cana,Anseriformes,LC,True,2.0
Tadorna tadornoides,Anseriformes,LC,False,0.5
Tadorna variegata,Anseriformes,LC,False,0.5
Tadorna cristata,Anseriformes,CR,False,2.5
Malacorhynchus membranaceus,Anseriformes,LC,False,0.5
Salvadorina waigiuensis,Anseriformes,LC,False,0.5
Cairina moschata,Anseriformes,LC,False,0.5
Asarcornis scutulata,Anseriformes,CR,False,2.5
Pteronetta hartlaubii,Anseriformes,LC,False,0.5
Aix sponsa,Anseriformes,LC,True,2.0
Aix galericulata,Anseriformes,LC,True,2.0
Chenonetta jubata,Anseriformes,LC,False,0.5
Chenonetta finschi,Anseriformes,EX,False,0.25
Nettapus auritus,Anseriformes,LC,False,0.5
Nettapus coromandelianus,Anseriformes,LC,True,2.0
Nettapus pulchellus,Anseriformes,LC,False,0.5
Amazonetta brasiliensis,Anseriformes,LC,True,2.0
Callonetta leucophrys,Anseriformes,LC,True,2.0
Lophonetta specularioides,Anseriformes,LC,False,0.5
Speculanas specularis,Anseriformes,NT,True,4.0
Sibirionetta formosa,Anseriformes,LC,True,2.0
Spatula querquedula,Anseriformes,LC,True,2.0
Spatula hottentota,Anseriformes,LC,True,2.0
Spatula puna,Anseriformes,LC,False,0.5
Spatula versicolor,Anseriformes,LC,False,0.5
Spatula platalea,Anseriformes,LC,False,0.5
Spatula cyanoptera,Anseriformes,LC,True,2.0
Spatula discors,Anseriformes,LC,True,2.0
Spatula smithii,Anseriformes,LC,True,2.0
Spatula rhynchotis,Anseriformes,LC,False,0.5
Spatula clypeata,Anseriformes,LC,True,2.0
Mareca strepera,Anseriformes,LC,True,2.0
Mareca falcata,Anseriformes,LC,True,2.0
Mareca penelope,Anseriformes,LC,True,2.0
Mareca sibilatrix,Anseriformes,LC,True,2.0
Mareca americana,Anseriformes,LC,True,2.0
Anas marecula,Anseriformes,EX,False,0.25
Anas sparsa,Anseriformes,LC,False,0.5
Anas undulata,Anseriformes,LC,False,0.5
Anas melleri,Anseriformes,EN,False,2.0
Anas superciliosa,Anseriformes,LC,False,0.5
Anas laysanensis,Anseriformes,CR,False,2.5
Anas wyvilliana,Anseriformes,VU,False,1.5
Anas luzonica,Anseriformes,VU,False,1.5
Anas poecilorhyncha,Anseriformes,LC,False,0.5
Anas zonorhyncha,Anseriformes,LC,False,0.5
Anas platyrhynchos,Anseriformes,LC,False,0.5
Anas fulvigula,Anseriformes,LC,False,0.5
Anas rubripes,Anseriformes,LC,False,0.5
Anas diazi,Anseriformes,,False,0.25
Anas capensis,Anseriformes,LC,False,0.5
Anas bahamensis,Anseriformes,LC,False,0.5
Anas erythrorhyncha,Anseriformes,LC,False,0.5
Anas georgica,Anseriformes,LC,False,0.5
Anas eatoni,Anseriformes,VU,False,1.5
Anas acuta,Anseriformes,LC,True,2.0
Anas crecca,Anseriformes,LC,True,2.0
Anas carolinensis,Anseriformes,LC,True,2.0
Anas flavirostris,Anseriformes,LC,False,0.5
Anas andium,Anseriformes,LC,False,0.5
Anas gibberifrons,Anseriformes,NT,False,1.0
Anas albogularis,Anseriformes,NT,False,1.0
Anas theodori,Anseriformes,EX,False,0.25
Anas gracilis,Anseriformes,LC,False,0.5
Anas castanea,Anseriformes,LC,False,0.5
Anas bernieri,Anseriformes,EN,True,8.0
Anas chlorotis,Anseriformes,NT,False,1.0
Anas aucklandica,Anseriformes,NT,False,1.0
Anas nesiotis,Anseriformes,VU,False,1.5
Marmaronetta angustirostris,Anseriformes,NT,False,1.0
Rhodonessa caryophyllacea,Anseriformes,CR,False,2.5
Netta rufina,Anseriformes,LC,True,2.0
Netta peposaca,Anseriformes,LC,False,0.5
Netta erythrophthalma,Anseriformes,LC,False,0.5
Aythya valisineria,Anseriformes,LC,True,2.0
Aythya americana,Anseriformes,LC,True,2.0
Aythya ferina,Anseriformes,VU,False,1.5
Aythya australis,Anseriformes,LC,False,0.5
Aythya innotata,Anseriformes,CR,False,2.5
Aythya baeri,Anseriformes,CR,True,10.0
Aythya nyroca,Anseriformes,NT,True,4.0
Aythya novaeseelandiae,Anseriformes,LC,False,0.5
Aythya collaris,Anseriformes,LC,True,2.0
Aythya fuligula,Anseriformes,LC,True,2.0
Aythya marila,Anseriformes,LC,True,2.0
Aythya affinis,Anseriformes,LC,True,2.0
Polysticta stelleri,Anseriformes,VU,True,6.0
Camptorhynchus labradorius,Anseriformes,EX,True,1.0
Somateria fischeri,Anseriformes,NT,True,4.0
Somateria spectabilis,Anseriformes,LC,True,2.0
Somateria mollissima,Anseriformes,NT,False,1.0
Histrionicus histrionicus,Anseriformes,LC,True,2.0
Melanitta perspicillata,Anseriformes,LC,True,2.0
Melanitta fusca,Anseriformes,VU,True,6.0
Melanitta deglandi,Anseriformes,LC,True,2.0
Melanitta stejnegeri,Anseriformes,LC,True,2.0
Melanitta nigra,Anseriformes,LC,True,2.0
Melanitta americana,Anseriformes,NT,True,4.0
Clangula hyemalis,Anseriformes,VU,True,6.0
Bucephala albeola,Anseriformes,LC,True,2.0
Bucephala clangula,Anseriformes,LC,True,2.0
Bucephala islandica,Anseriformes,LC,True,2.0
Mergellus albellus,Anseriformes,LC,True,2.0
Lophodytes cucullatus,Anseriformes,LC,True,2.0
Mergus australis,Anseriformes,EX,False,0.25
Mergus octosetaceus,Anseriformes,CR,False,2.5
Mergus merganser,Anseriformes,LC,True,2.0
Mergus serrator,Anseriformes,LC,True,2.0
Mergus squamatus,Anseriformes,EN,True,8.0
Heteronetta atricapilla,Anseriformes,LC,False,0.5
Nomonyx dominicus,Anseriformes,LC,False,0.5
Oxyura jamaicensis,Anseriformes,LC,True,2.0
Oxyura ferruginea,Anseriformes,LC,False,0.5
Oxyura vittata,Anseriformes,LC,False,0.5
Oxyura australis,Anseriformes,LC,False,0.5
Oxyura maccoa,Anseriformes,EN,False,2.0
Oxyura leucocephala,Anseriformes,EN,True,8.0
Biziura lobata,Anseriformes,LC,False,0.5
Alectura lathami,Galliformes,LC,False,0.5
Aepypodius arfakianus,Galliformes,LC,False,0.5
Aepypodius bruijnii,Galliformes,EN,False,2.0
Talegalla cuvieri,Galliformes,LC,False,0.5
Talegalla fuscirostris,Galliformes,LC,False,0.5
Talegalla jobiensis,Galliformes,LC,False,0.5
Leipoa ocellata,Galliformes,VU,False,1.5
Macrocephalon maleo,Galliformes,CR,False,2.5
Eulipoa wallacei,Galliformes,VU,False,1.5
Megapodius pritchardii,Galliformes,VU,False,1.5
Megapodius laperouse,Galliformes,NT,False,1.0
Megapodius nicobariensis,Galliformes,VU,False,1.5
Megapodius cumingii,Galliformes,LC,False,0.5
Megapodius bernsteinii,Galliformes,VU,False,1.5
Megapodius tenimberensis,Galliformes,VU,False,1.5
Megapodius freycinet,Galliformes,LC,False,0.5
Megapodius geelvinkianus,Galliformes,NT,False,1.0
Megapodius eremita,Galliformes,LC,True,2.0
Megapodius layardi,Galliformes,LC,False,0.5
Megapodius decollatus,Galliformes,LC,False,0.5
Megapodius reinwardt,Galliformes,LC,False,0.5
Ortalis vetula,Galliformes,LC,False,0.5
Ortalis cinereiceps,Galliformes,LC,False,0.5
Ortalis garrula,Galliformes,LC,False,0.5
Ortalis ruficauda,Galliformes,LC,False,0.5
Ortalis erythroptera,Galliformes,VU,False,1.5
Ortalis wagleri,Galliformes,LC,False,0.5
Ortalis poliocephala,Galliformes,LC,False,0.5
Ortalis canicollis,Galliformes,LC,False,0.5
Ortalis leucogastra,Galliformes,LC,False,0.5
Ortalis guttata,Galliformes,LC,False,0.5
Ortalis araucuan,Galliformes,LC,False,0.5
Ortalis squamata,Galliformes,LC,False,0.5
Ortalis columbiana,Galliformes,LC,False,0.5
Ortalis motmot,Galliformes,LC,False,0.5
Ortalis ruficeps,Galliformes,,False,0.25
Ortalis superciliaris,Galliformes,LC,False,0.5
Penelope argyrotis,Galliformes,LC,False,0.5
Penelope barbata,Galliformes,NT,False,1.0
Penelope ortoni,Galliformes,EN,False,2.0
Penelope montagnii,Galliformes,LC,False,0.5
Penelope marail,Galliformes,LC,False,0.5
Penelope superciliaris,Galliformes,NT,False,1.0
Penelope dabbenei,Galliformes,LC,False,0.5
Penelope purpurascens,Galliformes,NT,False,1.0
Penelope perspicax,Galliformes,VU,False,1.5
Penelope albipennis,Galliformes,EN,False,2.0
Penelope jacquacu,Galliformes,LC,False,0.5
Penelope obscura,Galliformes,LC,False,0.5
Penelope bridgesi,Galliformes,,False,0.25
