farm_id,n_turbines,centroid_lat,centroid_lon,hub_height,rotor_diam,capacity_kw,hub_height_imputed,rotor_diam_imputed,capacity_imputed,pc1_angle,explained_var_ratio,aep_000,aep_010,aep_020,aep_030,aep_040,aep_050,aep_060,aep_070,aep_080,aep_090,aep_100,aep_110,aep_120,aep_130,aep_140,aep_150,aep_160,aep_170
1704.0,264,55.6763,-4.2798,130.0,99.8,2300.0,False,False,False,0.39,0.8658,2714407002.0,2714293931.0,2715101173.0,2715331700.0,2710636597.0,2706288476.0,2701292375.0,2695932773.0,2690978723.0,2684741714.0,2680398680.0,2675354862.0,2669074371.0,2665332942.0,2661333362.0,2659340657.0,2654572531.0,2649396405.0
32.0,262,53.4324,7.1317,135.0,71.0,2300.0,False,False,False,49.85,0.7132,1427216564.0,1428344693.0,1427908694.0,1427560298.0,1427785972.0,1427714063.0,1427422320.0,1425713500.0,1423689313.0,1423110703.0,1421502404.0,1419709478.0,1418972879.0,1419127478.0,1420942866.0,1421185174.0,1422068119.0,1423491520.0
1517.0,260,41.7481,-5.0255,114.0,90.0,3465.0,False,False,False,55.07,0.7108,1244677176.0,1244017364.0,1243438540.0,1241024626.0,1237598625.0,1233482196.0,1229075480.0,1224913535.0,1224219353.0,1222332101.0,1224844972.0,1227332014.0,1231389919.0,1235546758.0,1237614123.0,1240648681.0,1242016880.0,1242696509.0
1310.0,255,42.2171,-4.151,55.0,58.0,850.0,False,False,False,14.17,0.9372,298310091.0,297859401.0,297166390.0,296198153.0,295572142.0,293161855.0,291089429.0,290368028.0,289905863.0,289944476.0,291099397.0,294330256.0,297297785.0,298336611.0,298835744.0,299028493.0,298609702.0,298432176.0
4086.0,240,55.5973,-3.9656,150.0,103.0,4800.0,False,False,False,159.94,0.734,3975451809.0,3971861729.0,3968481961.0,3965610053.0,3956552074.0,3949210601.0,3942335691.0,3932353914.0,3922182383.0,3910199376.0,3898576816.0,3884052921.0,3877242212.0,3875798119.0,3874274424.0,3871212012.0,3873221595.0,3875661666.0
4109.0,222,55.304,-4.2279,82.0,133.0,4350.0,False,False,False,175.39,0.8454,3801479692.0,3803266139.0,3803487217.0,3803777724.0,3800717823.0,3798375813.0,3795035447.0,3787001828.0,3777228192.0,3766929492.0,3755993670.0,3745510278.0,3733337077.0,3723526106.0,3713768144.0,3705387259.0,3696873689.0,3689758452.0
2869.0,216,48.6649,4.0326,115.0,150.0,3000.0,False,False,False,158.78,0.718,2343389193.0,2343631598.0,2346358248.0,2345106054.0,2339561881.0,2334353114.0,2332534733.0,2327827549.0,2318253881.0,2312237868.0,2309008881.0,2299899379.0,2300049043.0,2302043810.0,2306130239.0,2311478268.0,2318598148.0,2331335862.0
1010.0,215,41.888,-1.5574,101.5,47.0,660.0,False,False,False,22.62,0.9251,372467843.0,370441148.0,366879861.0,363053369.0,358288898.0,353515515.0,349623368.0,345579928.0,344504434.0,345215893.0,347419377.0,351842447.0,356664472.0,362259386.0,366584040.0,369427238.0,371061984.0,370172721.0
4032.0,213,55.4552,-3.5795,85.8,113.0,3200.0,False,False,False,71.42,0.6439,2505879401.0,2506893700.0,2507751809.0,2506950004.0,2504997845.0,2502569497.0,2500360551.0,2496234647.0,2492517624.0,2489276847.0,2485773666.0,2482439782.0,2478006913.0,2474940796.0,2471638963.0,2469360491.0,2464337273.0,2459666269.0
2113.0,202,53.3864,13.9656,167.0,164.0,2300.0,False,False,False,28.13,0.8451,2725100780.0,2718713251.0,2713267862.0,2706001777.0,2698641689.0,2694057167.0,2690106919.0,2688231801.0,2685341229.0,2683024772.0,2683097318.0,2682752601.0,2684820719.0,2685203905.0,2682486328.0,2679356568.0,2674633495.0,2670076023.0
1516.0,201,41.8834,-4.7933,114.0,77.0,1875.0,False,False,False,30.5,0.8743,693394964.0,693063780.0,692282287.0,691529176.0,690534812.0,689429825.0,688043801.0,684886875.0,682796124.0,680828197.0,682126624.0,685377049.0,688113127.0,690091309.0,690266244.0,690739447.0,690656695.0,690002694.0
2610.0,199,54.0173,-3.4998,80.0,120.0,3600.0,False,False,False,147.11,0.8839,2230911174.0,2234522446.0,2234812032.0,2231737155.0,2233937432.0,2226361626.0,2221412186.0,2211452076.0,2205097528.0,2201229072.0,2195741982.0,2194749349.0,2195529165.0,2184054785.0,2187260942.0,2188507701.0,2187025662.0,2188431298.0
14.0,195,52.5639,12.8647,105.0,71.0,2000.0,False,False,False,154.38,0.8191,766073910.0,764486433.0,764681846.0,764273926.0,762492633.0,761878411.0,760863399.0,759703817.0,758347903.0,757888986.0,759805008.0,759037787.0,759062720.0,761096240.0,762056617.0,762877217.0,762999275.0,764343241.0
2964.0,187,37.0524,-4.9714,84.0,90.0,2000.0,False,False,False,13.42,0.7932,1090994587.0,1086074267.0,1080946874.0,1075382096.0,1067172924.0,1058884479.0,1050000907.0,1028655971.0,999572492.0,978608108.0,985737490.0,998880605.0,1011402786.0,1023241186.0,1042400604.0,1053945967.0,1053959238.0,1048226868.0
1303.0,186,42.8553,-9.0371,35.0,44.0,2000.0,False,False,True,158.91,0.9327,189814216.0,186000236.0,181398355.0,176478100.0,171989766.0,168921800.0,167965936.0,169925557.0,173529176.0,178079107.0,182531202.0,186295272.0,189152236.0,191055109.0,192242067.0,192805274.0,192729723.0,191743580.0
997.0,182,41.5038,-0.925,60.7,80.0,1670.0,False,False,False,44.69,0.5923,838990714.0,836589142.0,832896503.0,829242361.0,823826893.0,814175434.0,802456825.0,790238312.0,783091815.0,783063395.0,779787205.0,776255903.0,770382557.0,771023760.0,773184617.0,775442359.0,776923977.0,777872080.0
985.0,181,42.6851,-3.5833,55.0,48.0,750.0,False,False,False,146.3,0.9476,257931033.0,257382475.0,256557702.0,256317479.0,255972150.0,255448622.0,254681168.0,253064349.0,249973936.0,248357988.0,246831565.0,244658083.0,245053711.0,248039594.0,253994888.0,255588599.0,255362611.0,254582527.0
1348.0,181,41.2942,-3.1279,67.0,46.0,660.0,False,False,False,175.74,0.9881,257152034.0,256163811.0,255220216.0,254667581.0,253795849.0,253602853.0,253710398.0,254099425.0,253858117.0,253054132.0,252540507.0,251864819.0,251212086.0,249596956.0,248768365.0,248491376.0,249406997.0,249735062.0
1056.0,179,42.0118,-6.8205,66.0,87.0,2000.0,False,False,True,147.27,0.8293,652553207.0,651287672.0,648827849.0,644765214.0,638607054.0,631775109.0,625912004.0,617877336.0,610561938.0,605780061.0,601998773.0,599783296.0,598524496.0,600474140.0,603233784.0,605406456.0,609526576.0,613357399.0
1001.0,174,42.4336,-3.795,85.0,77.0,1500.0,False,False,False,13.16,0.6742,600062467.0,598958597.0,595809478.0,594491611.0,592423558.0,587652643.0,585136560.0,584253897.0,583503410.0,582349299.0,582979469.0,590785078.0,596062187.0,598913372.0,600831362.0,601987088.0,602685102.0,601565349.0
2282.0,174,38.6929,-2.1139,55.0,52.0,2000.0,False,False,True,175.74,0.9574,383341353.0,379184891.0,375930673.0,374196075.0,373289388.0,374664908.0,376602621.0,378976920.0,382025297.0,385384439.0,388789323.0,391545246.0,393416723.0,394516464.0,393918995.0,391489429.0,387401184.0,381019858.0
