farm_id,country,group,bauer_lat,bauer_lon,bauer_dist_km,bauer_spring_dir,bauer_autumn_dir,bauer_conc,bauer_n_obs
148,Finland,Europe (no direction data),53.5,15.5,1112.0,34.5,226.5,0.207,3402
149,Sweden,Europe (no direction data),54.5,13.25,147.0,40.9,233.4,0.202,3385
150,United Kingdom,Europe (no direction data),50.75,1.75,830.0,41.7,228.1,0.129,3465
152,Denmark,Europe (no direction data),55.0,8.75,194.0,51.1,234.8,0.13,3349
153,Denmark,Europe (no direction data),54.75,10.0,141.0,49.2,235.3,0.157,3353
154,Denmark,Europe (no direction data),54.75,10.0,126.0,49.2,235.3,0.157,3353
155,Italy,Europe (no direction data),47.5,13.75,864.0,33.2,225.8,0.117,3510
157,Denmark,Europe (no direction data),54.25,10.75,124.0,46.4,234.5,0.148,3373
158,Ireland,Europe (no direction data),48.5,-4.75,495.0,53.8,239.0,0.06,3482
161,United Kingdom,Europe (no direction data),50.75,1.75,802.0,41.7,228.1,0.129,3465
162,United Kingdom,Europe (no direction data),50.75,1.75,599.0,41.7,228.1,0.129,3465
163,Sweden,Europe (no direction data),53.5,15.5,490.0,34.5,226.5,0.207,3402
164,United Kingdom,Europe (no direction data),50.75,1.75,824.0,41.7,228.1,0.129,3465
167,France,Europe (no direction data),43.5,4.25,69.0,51.7,234.5,0.144,3569
170,Portugal,Europe (no direction data),43.0,-2.25,770.0,49.4,243.6,0.126,3586
