ID,Country,Latitude,Longitude,Hub.height,turbine.rotorDiameter,turbine.capacity,Number.of.turbines,Total.power,Status
337,Belgium,50.296,4.984,98.0,82.0,2000.0,4.0,8000.0,Production
339,Belgium,50.302,4.972,98.0,82.0,2000.0,2.0,4000.0,Production
16550,Belgium,51.69,2.84,100.0,150.0,6000.0,1.0,6000.0,Production
7141,Belgium,51.67,2.8,72.0,90.0,3000.0,55.0,165000.0,Production
7387,Belgium,51.66,2.82,72.0,112.0,3300.0,50.0,165000.0,Production
12053,Belgium,51.528,3.016,124.5,164.0,8400.0,44.0,369600.0,Production
16047,Belgium,51.619,2.901,71.0,112.0,3000.0,72.0,216000.0,Production
12064,Belgium,51.59,2.94,106.0,154.0,7357.0,42.0,309000.0,Production
428,Belgium,51.54,2.94,94.0,126.5,5075.0,6.0,30450.0,Production
15384,Belgium,51.56,2.97,95.0,126.0,6150.0,30.0,184500.0,Production
15385,Belgium,51.54,2.92,95.0,126.0,6150.0,18.0,110700.0,Production
253,Belgium,51.351,4.278,98.0,71.0,2000.0,2.0,4000.0,Production
3413,Belgium,51.276,4.333,105.0,90.0,3000.0,1.0,3000.0,Production
7144,Belgium,51.351,4.286,98.0,82.0,2000.0,4.0,8000.0,Production
10004,Belgium,51.311,4.314,98.0,104.0,3400.0,1.0,3400.0,Production
23189,Belgium,51.288,4.353,138.0,82.0,2350.0,3.0,7050.0,Production
23190,Belgium,51.316,4.346,138.0,82.0,2350.0,2.0,4700.0,Production
23823,Belgium,51.318,4.335,135.0,115.7,3000.0,3.0,9000.0,Production
23824,Belgium,51.292,4.351,135.0,115.7,3000.0,2.0,6000.0,Production
23825,Belgium,51.272,4.362,135.0,115.7,3000.0,5.0,15000.0,Production
23196,Belgium,51.093,3.737,108.0,82.0,2000.0,1.0,2000.0,Production
88,Belgium,51.071,3.947,108.0,82.0,2300.0,4.0,9200.0,Production
23195,Belgium,51.193,4.307,85.8,113.0,3000.0,1.0,3000.0,Production
16166,Belgium,51.193,4.307,100.0,82.0,2000.0,2.0,4000.0,Production
8811,Belgium,51.073,3.977,100.0,92.5,2050.0,2.0,4100.0,Production
21243,Belgium,51.073,3.977,100.0,92.5,2050.0,1.0,2050.0,Production
242,Belgium,51.18,3.533,86.0,70.0,1800.0,2.0,3600.0,Production
243,Belgium,51.196,3.567,65.0,40.0,500.0,2.0,1000.0,Production
1847,Belgium,51.181,3.541,86.0,70.0,1800.0,1.0,1800.0,Production
15856,Belgium,51.18,3.533,62.2,82.0,2300.0,2.0,4600.0,Production
23197,Belgium,51.11,3.707,70.2,92.5,2050.0,1.0,2050.0,Production
181,Belgium,51.156,3.765,98.0,82.0,2000.0,11.0,22000.0,Production
182,Belgium,51.096,3.697,78.0,80.0,2000.0,2.0,4000.0,Production
260,Belgium,51.09,3.785,105.0,82.0,2000.0,3.0,6000.0,Production
10931,Belgium,51.102,3.752,100.0,92.5,2050.0,3.0,6150.0,Production
16350,Belgium,51.125,3.776,64.5,85.0,2000.0,2.0,4000.0,Production
16405,Belgium,51.12,3.77,64.5,85.0,2000.0,1.0,2000.0,Production
16459,Belgium,51.085,3.746,62.2,82.0,2050.0,3.0,6150.0,Production
16553,Belgium,51.185,3.818,103.2,136.0,3450.0,5.0,17250.0,Production
23192,Belgium,51.1,3.739,78.2,103.0,2350.0,3.0,7050.0,Production
23201,Belgium,51.185,3.818,86.5,114.0,3200.0,3.0,9600.0,Production
8760,Belgium,51.07,4.04,99.0,100.0,2500.0,2.0,5000.0,Production
23204,Belgium,50.878,4.03,108.0,82.0,2300.0,4.0,9200.0,Production
10672,Belgium,51.27,4.258,108.0,82.0,2000.0,1.0,2000.0,Production
25317,Belgium,51.273,4.286,127.5,113.0,3200.0,6.0,19200.0,Production
252,Belgium,51.179,4.279,100.0,80.0,2000.0,3.0,6000.0,Production
5372,Belgium,51.181,4.277,98.0,82.0,2000.0,2.0,4000.0,Production
20726,Belgium,51.067,3.889,100.0,92.5,2050.0,3.0,6150.0,Production
3950,Belgium,51.076,3.964,109.0,82.0,2300.0,2.0,4600.0,Production
24662,Belgium,51.075,3.939,109.0,82.0,2300.0,2.0,4600.0,Production
10671,Belgium,51.217,3.489,97.0,71.0,2300.0,7.0,16100.0,Production
7138,Belgium,50.981,3.817,104.0,82.0,2000.0,3.0,6000.0,Production
22287,Belgium,51.279,4.269,115.0,113.0,3000.0,15.0,45000.0,Production
19413,Belgium,51.235,4.172,100.0,92.5,2050.0,4.0,8200.0,Production
20674,Belgium,51.23,4.128,100.0,92.5,2050.0,3.0,6150.0,Production
5402,Belgium,51.022,4.144,98.0,82.0,2300.0,1.0,2300.0,Production
22394,Belgium,51.024,4.139,98.0,82.0,2300.0,1.0,2300.0,Production
18813,Belgium,51.172,3.833,100.0,100.0,2500.0,2.0,5000.0,Production
25325,Belgium,51.372,4.657,139.0,122.0,3000.0,1.0,3000.0,Production
23187,Belgium,51.056,4.07,108.0,82.0,2300.0,2.0,4600.0,Production
25276,Belgium,51.056,4.07,100.0,100.0,2000.0,2.0,4000.0,Production
30670,Belgium,51.191,3.772,116.5,114.0,3400.0,1.0,3400.0,Production
22748,Belgium,,,100.0,100.0,2000.0,4.0,8000.0,Production
23203,Belgium,50.77,4.281,100.0,92.5,2050.0,1.0,2050.0,Production
23202,Belgium,50.763,4.264,75.9,100.0,2000.0,3.0,6000.0,Production
16165,Belgium,50.95,5.052,62.2,82.0,2300.0,5.0,11500.0,Production
30668,Belgium,50.954,5.057,86.5,114.0,3400.0,1.0,3400.0,Production
1325,Belgium,50.733,4.198,86.5,114.0,3400.0,1.0,3400.0,Production
1753,Belgium,50.729,4.211,86.5,114.0,3400.0,2.0,6800.0,Production
16608,Belgium,50.733,4.198,105.0,90.0,2000.0,2.0,4000.0,Production
15275,Belgium,51.074,4.135,98.0,82.0,2300.0,2.0,4600.0,Production
250,Belgium,50.996,4.373,55.0,34.0,400.0,3.0,1200.0,Production
30669,Belgium,50.957,4.991,119.0,114.0,3400.0,2.0,6800.0,Production
22655,Belgium,50.76,3.446,108.0,71.0,2300.0,3.0,6900.0,Production
20725,Belgium,50.826,3.332,90.0,92.5,2050.0,2.0,4100.0,Production
