farm_id,n_turbines,pc1_angle,explained_var_ratio,centroid_lat,centroid_lon,lat_range_km,lon_range_km,med_hub_height,med_rotor_diam,med_capacity_kw,med_start_year,n_hub_height,n_rotor,n_capacity,n_start_year
1317,140,25.25,0.7065,52.5573,5.5967,20.31,13.33,128.0,127.0,5600.0,2014.0,39,8,52,2
1385,140,167.21,0.7582,50.3235,6.4406,10.43,10.62,85.0,71.0,1.5,2007.0,138,129,140,97
1732,140,51.48,0.5615,56.4774,8.2603,26.6,15.89,80.0,107.0,3.1,2010.0,39,39,39,39
1036,136,0.65,0.9982,40.6324,-4.4167,1.77,16.38,34.9,46.0,0.7,,0,0,136,0
2738,136,33.83,0.9058,38.993,-0.9501,9.59,10.52,58.4,77.0,2000.0,,0,0,39,0
4068,134,153.21,0.8652,55.3386,-4.0741,11.36,10.45,69.0,47.0,7200.0,2018.0,16,0,69,19
1030,132,4.94,0.9666,42.5789,-3.7835,7.63,19.22,112.0,87.0,2.0,2020.0,10,132,132,3
2309,131,166.77,0.9837,40.7734,-0.8314,5.29,15.67,34.9,46.0,3000.0,,0,131,12,0
2287,129,40.71,0.8923,38.8021,-1.7005,9.41,8.15,39.5,52.0,850.0,,0,120,129,0
5161,129,69.27,0.6678,53.1794,0.4738,13.49,5.82,100.0,107.0,3600.0,,0,0,129,0
376,128,99.34,0.6954,53.4687,13.8417,15.73,7.68,148.0,150.0,1900.0,2006.0,3,3,128,113
2293,127,160.05,0.8119,38.7093,-2.3629,9.54,10.78,58.4,77.0,1500.0,,0,0,0,0
3837,127,164.15,0.8892,41.9217,-0.5864,4.35,7.6,35.7,47.0,0.7,,0,0,127,0
179,125,162.39,0.9303,54.6232,9.0737,11.19,11.06,113.5,115.7,2000.0,2013.0,18,0,51,4
494,123,37.77,0.7445,37.4109,-2.5527,6.72,8.31,68.3,90.0,2000.0,,0,0,121,0
1556,123,165.17,0.9174,42.5927,-2.378,6.17,8.48,108.0,163.0,5900.0,,6,6,6,0
713,123,10.02,0.8919,51.6872,-3.5954,9.95,13.76,89.5,90.0,3000.0,2013.0,76,9,106,8
2289,123,37.97,0.8852,38.7504,-1.0291,9.62,8.56,35.7,47.0,660.0,,0,0,0,0
2009,119,75.08,0.8551,53.1117,5.4697,35.02,9.76,109.0,62.0,1300.0,2007.0,9,40,42,14
319,119,179.07,0.6769,53.6389,7.7755,13.77,11.82,135.0,71.0,0.6,,25,29,35,0
564,118,27.79,0.7738,50.0526,7.5637,16.46,12.07,136.0,92.0,2.4,2012.0,118,118,118,113
2674,118,178.91,0.834,48.8497,4.5955,11.26,13.54,80.0,92.5,2050.0,2016.0,67,67,112,39
368,118,171.92,0.8664,51.8747,13.5285,6.47,6.6,98.0,70.0,1800.0,2002.0,0,0,43,43
2767,117,54.11,0.5798,36.514,-5.8937,13.09,10.86,70.6,93.0,2000.0,,0,0,117,0
170,117,69.06,0.816,54.5512,9.4108,18.46,7.76,115.5,82.0,2525.0,2022.0,30,0,82,11
5160,116,6.81,0.9112,50.6697,-0.2783,7.71,11.8,140.0,112.0,3450.0,,20,20,116,0
271,115,11.39,0.9345,52.0078,12.8581,5.13,7.21,130.0,90.0,2000.0,2013.0,39,10,102,21
187,114,3.77,0.9017,51.7236,11.5971,8.39,8.0,108.0,92.0,1500.0,2016.0,0,0,66,6
375,113,16.14,0.9153,53.3285,13.7489,4.21,5.37,164.0,149.0,800.0,2002.0,18,18,112,105
2302,113,75.45,0.9117,38.7223,-1.397,21.17,9.21,56.2,74.0,1.7,,0,0,49,0
1688,109,36.13,0.8333,52.4379,-3.426,6.0,5.61,30.0,28.0,275.0,,0,0,0,0
2055,109,169.17,0.9415,53.441,6.8268,8.01,10.55,200.0,106.0,3000.0,2020.0,2,0,79,64
2772,108,1.5,0.9314,52.9557,17.2027,7.75,15.69,100.0,90.0,2000.0,,0,0,49,0
4770,108,171.22,0.944,65.284,17.2067,6.85,9.29,100.0,100.0,3200.0,2014.0,108,108,0,108
136,108,66.68,0.6348,53.7167,8.6586,6.91,4.48,32.0,40.0,0.5,,88,106,88,0
3806,108,13.59,0.8875,42.2536,-2.2362,6.26,8.27,45.0,47.0,660.0,,0,108,108,0
1909,107,36.64,0.8958,51.1278,11.9518,7.66,6.64,160.0,127.0,3050.0,2024.0,20,0,53,5
5620,107,17.9,0.7809,42.0612,-0.8925,13.04,13.47,85.0,130.0,3800.0,,107,107,107,0
1175,106,28.04,0.8565,42.0006,-4.242,9.19,12.23,125.0,90.0,2000.0,,10,0,50,0
2731,106,10.71,0.919,37.5505,-7.2911,9.23,17.05,68.3,90.0,2000.0,,0,0,106,0
1062,106,28.48,0.7545,39.9848,-0.6623,6.75,7.72,66.0,87.0,2000.0,,0,0,1,0
1767,105,107.03,0.9192,42.9661,-9.0602,11.15,4.77,33.4,44.0,1300.0,,0,0,56,0
1076,104,158.55,0.7337,50.0036,7.385,11.38,10.31,135.0,82.0,2.3,2011.0,104,102,104,96
1052,104,169.67,0.9268,41.0456,-2.1936,7.05,15.16,67.0,86.0,2000.0,,104,104,74,0
6573,103,10.75,0.8933,60.3031,-1.2484,9.44,9.52,39.5,52.0,4200.0,,0,0,103,0
363,101,30.42,0.8533,54.4861,9.1989,10.11,9.29,93.0,82.0,3.4,2010.5,50,0,86,2
1529,101,6.75,0.5937,37.2407,-2.9725,8.12,7.24,68.3,90.0,2000.0,,0,0,101,0
3202,101,160.5,0.7819,52.708,11.9121,6.39,4.68,160.0,82.0,3300.0,,15,0,58,0
1302,100,137.59,0.593,42.6648,-8.964,6.02,4.97,34.9,46.0,660.0,,0,0,0,0
3349,100,161.34,0.8361,51.4304,1.6321,5.97,7.16,70.0,90.0,3000.0,,0,0,100,0
3123,100,116.84,0.7011,56.5958,11.2224,21.56,10.05,81.6,120.0,3600.0,,100,100,100,0
3514,99,44.35,0.8375,43.4841,-6.2889,8.79,6.55,39.5,52.0,850.0,,0,0,0,0
359,99,15.18,0.9227,51.726,8.8811,6.9,7.8,138.0,82.0,2300.0,2013.0,74,34,84,43
1331,97,50.77,0.9063,42.478,-8.3837,6.84,4.5,35.7,47.0,660.0,,0,0,0,0
168,97,177.01,0.9874,51.5132,8.3048,5.75,14.64,70.0,52.9,800.0,,67,67,86,0
1149,96,23.34,0.7398,43.0619,-3.8208,5.27,6.67,39.5,52.0,0.8,,0,96,96,0
2084,96,3.73,0.9803,40.7141,-4.4629,2.24,8.67,35.7,47.0,6000.0,,0,0,4,0
3616,96,158.87,0.7289,55.5573,-5.5918,7.21,6.9,58.5,82.0,3000.0,,0,0,3,0
3840,94,17.49,0.9311,42.677,-1.5783,3.71,5.26,86.5,114.0,3400.0,,0,0,5,0
1483,94,16.73,0.956,41.5019,1.216,7.98,14.97,68.3,90.0,2000.0,,0,0,0,0
3929,94,15.9,0.7082,39.62,-1.7246,12.38,13.26,53.5,70.5,1500.0,,0,0,0,0
1942,94,169.09,0.9402,43.1397,-3.518,3.84,10.17,39.5,61.0,1.3,,0,93,93,0
2548,94,12.64,0.7341,42.6328,-1.6988,7.01,7.85,35.7,132.0,3000.0,,0,18,22,0
756,93,37.47,0.5741,53.1392,11.805,8.24,5.17,161.0,77.0,2000.0,2020.0,16,0,79,5
373,92,142.29,0.7948,54.7947,8.8998,7.54,6.61,93.0,113.0,3000.0,2019.0,40,0,57,19
2394,91,44.29,0.9297,55.8051,-2.8463,7.41,4.24,40.0,47.0,660.0,,0,0,0,0
