species,order,migratory_status,marine,conservation_weight
Ducula_poliocephala,COLUMBIFORMES,resident,False,0.1
Ducula_radiata,COLUMBIFORMES,resident,False,0.1
Ducula_rosacea,COLUMBIFORMES,resident,False,0.1
Ducula_rubricera,COLUMBIFORMES,resident,False,0.1
Ducula_rufigaster,COLUMBIFORMES,resident,False,0.1
Ducula_spilorrhoa,COLUMBIFORMES,directional migratory,False,1.0
Ducula_subflavescens,COLUMBIFORMES,resident,False,0.1
Ducula_whartoni,COLUMBIFORMES,resident,False,0.1
Ducula_zoeae,COLUMBIFORMES,resident,False,0.1
Dulus_dominicus,PASSERIFORMES,resident,False,0.1
Dumetella_carolinensis,PASSERIFORMES,directional migratory,False,1.0
Dumetia_hyperythra,PASSERIFORMES,resident,False,0.1
Dupetor_flavicollis,PELECANIFORMES,directional migratory,False,1.0
Dysithamnus_leucostictus,PASSERIFORMES,resident,False,0.1
Dysithamnus_mentalis,PASSERIFORMES,resident,False,0.1
Dysithamnus_occidentalis,PASSERIFORMES,resident,False,0.1
Dysithamnus_plumbeus,PASSERIFORMES,resident,False,0.1
Dysithamnus_puncticeps,PASSERIFORMES,resident,False,0.1
Dysithamnus_stictothorax,PASSERIFORMES,resident,False,0.1
Dysithamnus_striaticeps,PASSERIFORMES,resident,False,0.1
Dysithamnus_xanthopterus,PASSERIFORMES,resident,False,0.1
Dysmorodrepanis_munroi,PASSERIFORMES,extinct,False,0.0
Eclectus_roratus,PSITTACIFORMES,resident,False,0.1
Ectopistes_migratorius,COLUMBIFORMES,extinct,False,0.0
Egretta_ardesiaca,PELECANIFORMES,resident,False,0.1
Egretta_caerulea,PELECANIFORMES,directional migratory,False,1.0
Egretta_dimorpha,PELECANIFORMES,resident,False,0.1
Egretta_eulophotes,PELECANIFORMES,directional migratory,False,1.0
Egretta_garzetta,PELECANIFORMES,directional migratory,False,1.0
Egretta_gularis,PELECANIFORMES,dispersive migratory,False,0.5
Egretta_intermedia,PELECANIFORMES,directional migratory,False,1.0
Egretta_novaehollandiae,PELECANIFORMES,nomadic,False,0.3
Egretta_picata,PELECANIFORMES,dispersive migratory,False,0.5
Egretta_rufescens,PELECANIFORMES,dispersive migratory,False,0.5
Egretta_sacra,PELECANIFORMES,resident,False,0.1
Egretta_thula,PELECANIFORMES,directional migratory,False,1.0
Egretta_tricolor,PELECANIFORMES,directional migratory,False,1.0
Egretta_vinaceigula,PELECANIFORMES,resident,False,0.1
Elaenia_albiceps,PASSERIFORMES,directional migratory,False,1.0
Elaenia_chiriquensis,PASSERIFORMES,directional migratory,False,1.0
Elaenia_cristata,PASSERIFORMES,resident,False,0.1
Elaenia_dayi,PASSERIFORMES,resident,False,0.1
Elaenia_fallax,PASSERIFORMES,resident,False,0.1
Elaenia_flavogaster,PASSERIFORMES,resident,False,0.1
Elaenia_frantzii,PASSERIFORMES,resident,False,0.1
Elaenia_gigas,PASSERIFORMES,resident,False,0.1
Elaenia_martinica,PASSERIFORMES,resident,False,0.1
Elaenia_mesoleuca,PASSERIFORMES,directional migratory,False,1.0
Elaenia_obscura,PASSERIFORMES,resident,False,0.1
Elaenia_pallatangae,PASSERIFORMES,resident,False,0.1
Elaenia_parvirostris,PASSERIFORMES,directional migratory,False,1.0
Elaenia_pelzelni,PASSERIFORMES,resident,False,0.1
Elaenia_ridleyana,PASSERIFORMES,resident,False,0.1
Elaenia_ruficeps,PASSERIFORMES,resident,False,0.1
Elaenia_spectabilis,PASSERIFORMES,directional migratory,False,1.0
Elaenia_strepera,PASSERIFORMES,directional migratory,False,1.0
Elanoides_forficatus,ACCIPITRIFORMES,directional migratory,False,1.0
Elanus_axillaris,ACCIPITRIFORMES,dispersive migratory,False,0.5
Elanus_caeruleus,ACCIPITRIFORMES,nomadic,False,0.3
Elanus_leucurus,ACCIPITRIFORMES,dispersive migratory,False,0.5
Elanus_scriptus,ACCIPITRIFORMES,dispersive migratory,False,0.5
Elaphrornis_palliseri,PASSERIFORMES,resident,False,0.1
Electron_carinatum,CORACIIFORMES,resident,False,0.1
Electron_platyrhynchum,CORACIIFORMES,resident,False,0.1
Eleoscytalopus_indigoticus,PASSERIFORMES,resident,False,0.1
Eleoscytalopus_psychopompus,PASSERIFORMES,resident,False,0.1
Eleothreptus_anomalus,CAPRIMULGIFORMES,resident,False,0.1
Elminia_albicauda,PASSERIFORMES,resident,False,0.1
Elminia_albiventris,PASSERIFORMES,resident,False,0.1
Elminia_albonotata,PASSERIFORMES,resident,False,0.1
Elminia_longicauda,PASSERIFORMES,resident,False,0.1
Elminia_nigromitrata,PASSERIFORMES,resident,False,0.1
Elseyornis_melanops,CHARADRIIFORMES,resident,False,0.1
Elvira_chionura,APODIFORMES,resident,False,0.1
Elvira_cupreiceps,APODIFORMES,resident,False,0.1
Emarginata_schlegelii,PASSERIFORMES,resident,False,0.1
Emarginata_sinuata,PASSERIFORMES,resident,False,0.1
Emarginata_tractrac,PASSERIFORMES,resident,False,0.1
Emberiza_affinis,PASSERIFORMES,resident,False,0.1
Emberiza_aureola,PASSERIFORMES,directional migratory,False,1.0
Emberiza_bruniceps,PASSERIFORMES,directional migratory,False,1.0
Emberiza_buchanani,PASSERIFORMES,directional migratory,False,1.0
Emberiza_cabanisi,PASSERIFORMES,resident,False,0.1
Emberiza_caesia,PASSERIFORMES,directional migratory,False,1.0
