farm_id,n_turbines,centroid_lat,centroid_lon,hub_height,rotor_diam,capacity_kw,hub_height_imputed,rotor_diam_imputed,capacity_imputed,pc1_angle,explained_var_ratio,grid_dist_km,spring_dir,autumn_dir,spring_conc,autumn_conc,budget,theta_econ,theta_eco,aep_cost_pct,risk_reduction,risk_reduction_abs
404.0,342.0,54.7305,9.196,92.5,72.0,3200.0,False,False,False,135.53,0.7213,4.41923740714654,65.8,247.1,0.8777,0.4639,0.005,30,70,0.3076,98.74,0.345279
404.0,342.0,54.7305,9.196,92.5,72.0,3200.0,False,False,False,135.53,0.7213,4.41923740714654,65.8,247.1,0.8777,0.4639,0.01,30,70,0.3076,98.74,0.345279
404.0,342.0,54.7305,9.196,92.5,72.0,3200.0,False,False,False,135.53,0.7213,4.41923740714654,65.8,247.1,0.8777,0.4639,0.02,30,70,0.3076,98.74,0.345279
404.0,342.0,54.7305,9.196,92.5,72.0,3200.0,False,False,False,135.53,0.7213,4.41923740714654,65.8,247.1,0.8777,0.4639,0.05,30,70,0.3076,98.74,0.345279
51.0,272.0,52.3674,5.4423,98.0,104.0,3400.0,False,False,False,17.11,0.8271,13.666233463221394,55.3,241.6,0.8693,0.5601,0.005,0,40,0.3915,86.64,0.618821
51.0,272.0,52.3674,5.4423,98.0,104.0,3400.0,False,False,False,17.11,0.8271,13.666233463221394,55.3,241.6,0.8693,0.5601,0.01,0,60,0.8206,99.39,0.709878
51.0,272.0,52.3674,5.4423,98.0,104.0,3400.0,False,False,False,17.11,0.8271,13.666233463221394,55.3,241.6,0.8693,0.5601,0.02,0,60,0.8206,99.39,0.709878
51.0,272.0,52.3674,5.4423,98.0,104.0,3400.0,False,False,False,17.11,0.8271,13.666233463221394,55.3,241.6,0.8693,0.5601,0.05,0,60,0.8206,99.39,0.709878
32.0,262.0,53.4324,7.1317,135.0,71.0,2300.0,False,False,False,49.85,0.7132,11.293731221226611,62.1,245.1,0.8667,0.4937,0.005,10,60,0.0646,99.42,0.637074
32.0,262.0,53.4324,7.1317,135.0,71.0,2300.0,False,False,False,49.85,0.7132,11.293731221226611,62.1,245.1,0.8667,0.4937,0.01,10,60,0.0646,99.42,0.637074
32.0,262.0,53.4324,7.1317,135.0,71.0,2300.0,False,False,False,49.85,0.7132,11.293731221226611,62.1,245.1,0.8667,0.4937,0.02,10,60,0.0646,99.42,0.637074
32.0,262.0,53.4324,7.1317,135.0,71.0,2300.0,False,False,False,49.85,0.7132,11.293731221226611,62.1,245.1,0.8667,0.4937,0.05,10,60,0.0646,99.42,0.637074
1310.0,255.0,42.2171,-4.151,55.0,58.0,850.0,False,False,False,14.17,0.9372,161.08650774422165,49.6,250.5,0.9885,0.8988,0.005,150,10,0.391,40.69,0.393548
1310.0,255.0,42.2171,-4.151,55.0,58.0,850.0,False,False,False,14.17,0.9372,161.08650774422165,49.6,250.5,0.9885,0.8988,0.01,150,30,0.9465,73.14,0.70731
1310.0,255.0,42.2171,-4.151,55.0,58.0,850.0,False,False,False,14.17,0.9372,161.08650774422165,49.6,250.5,0.9885,0.8988,0.02,150,50,1.9619,93.96,0.908683
1310.0,255.0,42.2171,-4.151,55.0,58.0,850.0,False,False,False,14.17,0.9372,161.08650774422165,49.6,250.5,0.9885,0.8988,0.05,150,60,2.655,96.6,0.934233
2869.0,216.0,48.6649,4.0326,115.0,150.0,3000.0,False,False,False,158.78,0.718,9.72825988957338,52.6,236.0,0.8677,0.7399,0.005,20,40,0.2897,80.79,0.255035
2869.0,216.0,48.6649,4.0326,115.0,150.0,3000.0,False,False,False,158.78,0.718,9.72825988957338,52.6,236.0,0.8677,0.7399,0.01,20,50,0.5116,98.06,0.309548
2869.0,216.0,48.6649,4.0326,115.0,150.0,3000.0,False,False,False,158.78,0.718,9.72825988957338,52.6,236.0,0.8677,0.7399,0.02,20,50,0.5116,98.06,0.309548
2869.0,216.0,48.6649,4.0326,115.0,150.0,3000.0,False,False,False,158.78,0.718,9.72825988957338,52.6,236.0,0.8677,0.7399,0.05,20,50,0.5116,98.06,0.309548
1010.0,215.0,41.888,-1.5574,101.5,47.0,660.0,False,False,False,22.62,0.9251,123.49992466331766,48.5,249.5,0.9869,0.899,0.005,0,0,0.0,0.0,0.0
1010.0,215.0,41.888,-1.5574,101.5,47.0,660.0,False,False,False,22.62,0.9251,123.49992466331766,48.5,249.5,0.9869,0.899,0.01,0,10,0.5441,21.79,0.155076
1010.0,215.0,41.888,-1.5574,101.5,47.0,660.0,False,False,False,22.62,0.9251,123.49992466331766,48.5,249.5,0.9869,0.899,0.02,0,20,1.5003,44.54,0.316991
1010.0,215.0,41.888,-1.5574,101.5,47.0,660.0,False,False,False,22.62,0.9251,123.49992466331766,48.5,249.5,0.9869,0.899,0.05,0,40,3.8068,82.15,0.584748
2113.0,202.0,53.3864,13.9656,167.0,164.0,2300.0,False,False,False,28.13,0.8451,12.84625201066416,50.9,229.7,0.8536,0.7167,0.005,0,20,0.4342,56.92,0.337456
2113.0,202.0,53.3864,13.9656,167.0,164.0,2300.0,False,False,False,28.13,0.8451,12.84625201066416,50.9,229.7,0.8536,0.7167,0.01,0,40,0.9709,94.54,0.560459
2113.0,202.0,53.3864,13.9656,167.0,164.0,2300.0,False,False,False,28.13,0.8451,12.84625201066416,50.9,229.7,0.8536,0.7167,0.02,0,50,1.1392,99.98,0.592706
2113.0,202.0,53.3864,13.9656,167.0,164.0,2300.0,False,False,False,28.13,0.8451,12.84625201066416,50.9,229.7,0.8536,0.7167,0.05,0,50,1.1392,99.98,0.592706
14.0,195.0,52.5639,12.8647,105.0,71.0,2000.0,False,False,False,154.38,0.8191,10.829749272191748,52.3,227.3,0.8553,0.7151,0.005,0,40,0.4675,94.54,0.554834
14.0,195.0,52.5639,12.8647,105.0,71.0,2000.0,False,False,False,154.38,0.8191,10.829749272191748,52.3,227.3,0.8553,0.7151,0.01,0,50,0.5477,99.68,0.585015
14.0,195.0,52.5639,12.8647,105.0,71.0,2000.0,False,False,False,154.38,0.8191,10.829749272191748,52.3,227.3,0.8553,0.7151,0.02,0,50,0.5477,99.68,0.585015
14.0,195.0,52.5639,12.8647,105.0,71.0,2000.0,False,False,False,154.38,0.8191,10.829749272191748,52.3,227.3,0.8553,0.7151,0.05,0,50,0.5477,99.68,0.585015
997.0,182.0,41.5038,-0.925,60.7,80.0,1670.0,False,False,False,44.69,0.5923,166.16438827257275,47.9,248.6,0.9852,0.8998,0.005,0,10,0.2862,22.31,0.156539
997.0,182.0,41.5038,-0.925,60.7,80.0,1670.0,False,False,False,44.69,0.5923,166.16438827257275,47.9,248.6,0.9852,0.8998,0.01,0,20,0.7264,45.4,0.318504
997.0,182.0,41.5038,-0.925,60.7,80.0,1670.0,False,False,False,44.69,0.5923,166.16438827257275,47.9,248.6,0.9852,0.8998,0.02,0,40,1.8074,83.0,0.582275
997.0,182.0,41.5038,-0.925,60.7,80.0,1670.0,False,False,False,44.69,0.5923,166.16438827257275,47.9,248.6,0.9852,0.8998,0.05,0,60,4.3545,95.2,0.667892
985.0,181.0,42.6851,-3.5833,55.0,48.0,750.0,False,False,False,146.3,0.9476,101.34854601226542,49.6,250.5,0.9885,0.8988,0.005,0,10,0.2127,21.1,0.153354
985.0,181.0,42.6851,-3.5833,55.0,48.0,750.0,False,False,False,146.3,0.9476,101.34854601226542,49.6,250.5,0.9885,0.8988,0.01,0,50,0.9624,91.96,0.668489
