farm_id,theta_energy_hist,theta_freq_hist,theta_energy_mean,n_years,era5_wind_dir,source_type,bird_dir,concentration
140,246.4,248.3,246.6909090909091,11,246.4,hist_energy,66.39999999999998,0.2
141,90.3,140.4,89.70909090909092,11,90.3,hist_energy,270.3,0.2
142,240.3,228.6,241.8,11,240.3,hist_energy,60.30000000000001,0.2
143,82.4,140.4,80.63636363636364,11,82.4,hist_energy,262.4,0.2
144,,,232.75454545454548,11,232.75454545454548,yearly_mean,52.75454545454545,0.2
145,269.6,244.0,268.8,11,269.6,hist_energy,89.60000000000002,0.2
146,,,263.78181818181815,11,263.78181818181815,yearly_mean,83.78181818181815,0.2
147,,,111.17272727272726,11,111.17272727272726,yearly_mean,291.17272727272723,0.2
148,,,227.27272727272728,11,227.27272727272728,yearly_mean,47.27272727272725,0.2
149,,,235.73636363636368,11,235.73636363636368,yearly_mean,55.73636363636365,0.2
150,213.0,226.4,213.5636363636364,11,213.0,hist_energy,33.0,0.2
151,332.5,349.0,330.59090909090907,11,332.5,hist_energy,152.5,0.2
152,,,250.8181818181818,11,250.8181818181818,yearly_mean,70.81818181818181,0.2
153,,,235.64545454545453,11,235.64545454545453,yearly_mean,55.64545454545453,0.2
154,,,234.89090909090908,11,234.89090909090908,yearly_mean,54.890909090909076,0.2
155,235.3,307.6,307.1727272727273,11,235.3,hist_energy,55.30000000000001,0.2
156,259.8,263.1,258.90000000000003,11,259.8,hist_energy,79.80000000000001,0.2
157,,,231.96363636363637,11,231.96363636363637,yearly_mean,51.9636363636364,0.2
158,,,221.56363636363633,11,221.56363636363633,yearly_mean,41.563636363636306,0.2
159,85.2,139.8,84.10909090909091,11,85.2,hist_energy,265.2,0.2
160,269.6,266.7,262.09999999999997,11,269.6,hist_energy,89.60000000000002,0.2
161,215.7,226.8,215.55454545454543,11,215.7,hist_energy,35.69999999999999,0.2
162,234.6,234.3,241.72727272727272,11,234.6,hist_energy,54.60000000000002,0.2
163,,,237.1454545454545,11,237.1454545454545,yearly_mean,57.14545454545453,0.2
164,211.3,224.3,219.92727272727276,11,211.3,hist_energy,31.30000000000001,0.2
165,,,115.7909090909091,11,115.7909090909091,yearly_mean,295.7909090909091,0.2
166,278.2,260.0,278.08181818181816,11,278.2,hist_energy,98.19999999999999,0.2
167,329.5,314.2,328.90000000000003,11,329.5,hist_energy,149.5,0.2
168,,,181.78181818181818,11,181.78181818181818,yearly_mean,1.7818181818181529,0.2
169,,,55.56363636363637,11,55.56363636363637,yearly_mean,235.56363636363636,0.2
170,305.6,335.4,295.09999999999997,11,305.6,hist_energy,125.60000000000002,0.2
